Target-ID	Compound-ID	Std-value
CHEMBL3629	CHEMBL3699302	9.8
CHEMBL279	CHEMBL2018882	6.0
CHEMBL4816	CHEMBL523586	2.0
CHEMBL3650	CHEMBL3962549	17.78
CHEMBL2147	CHEMBL3691918	0.54
CHEMBL5407	CHEMBL3676270	5.0
CHEMBL1974	CHEMBL1940107	3.0
CHEMBL4142	CHEMBL3348846	3.2
CHEMBL1824	CHEMBL255170	1.0
CHEMBL4142	CHEMBL3976752	10.0
CHEMBL331	CHEMBL3702174	27.0
CHEMBL3650	CHEMBL3905633	14.45
CHEMBL4282	CHEMBL3894578	2.3
CHEMBL2971	CHEMBL3765517	13.0
CHEMBL2147	CHEMBL3934565	0.1
CHEMBL5407	CHEMBL3639508	12.0
CHEMBL2815	CHEMBL3676093	8.7
CHEMBL2147	CHEMBL3687488	25.38
CHEMBL279	CHEMBL75196	30.0
CHEMBL4501	CHEMBL3927877	1.9
CHEMBL3038469	CHEMBL271160	3.4
CHEMBL1907605	CHEMBL2347578	19.0
CHEMBL5408	CHEMBL3687153	21.0
CHEMBL4722	CHEMBL3393498	0.6
CHEMBL2147	CHEMBL3687504	0.03
CHEMBL1955	CHEMBL2018882	9.0
CHEMBL2185	CHEMBL593987	27.0
CHEMBL4898	CHEMBL3673477	0.2
CHEMBL2815	CHEMBL3676099	2.1
CHEMBL5407	CHEMBL3393703	4.0
CHEMBL3038477	CHEMBL3894859	10.0
CHEMBL4523	CHEMBL3660096	25.4
CHEMBL2147	CHEMBL3958862	0.1
CHEMBL1907601	CHEMBL3897592	3.3
CHEMBL2996	CHEMBL522344	29.0
CHEMBL5407	CHEMBL2048867	3.0
CHEMBL2959	CHEMBL2017556	0.3
CHEMBL4895	CHEMBL3892515	11.0
CHEMBL1907602	CHEMBL1825095	6.0
CHEMBL3529	CHEMBL3918874	30.0
CHEMBL5331	CHEMBL3951096	4.1
CHEMBL2815	CHEMBL3596879	24.0
CHEMBL2828	CHEMBL3892824	3.1
CHEMBL2094115	CHEMBL307980	7.6
CHEMBL4142	CHEMBL3927219	9.772
CHEMBL203	CHEMBL3897723	5.4
CHEMBL3038477	CHEMBL3963535	10.0
CHEMBL1907605	CHEMBL608995	1.6
CHEMBL279	CHEMBL3322566	20.7
CHEMBL1957	CHEMBL515519	0.8
CHEMBL2842	CHEMBL2158864	7.7
CHEMBL2185	CHEMBL3685249	0.5
CHEMBL3476	CHEMBL2164411	6.31
CHEMBL2971	CHEMBL3665131	0.0209
CHEMBL1936	CHEMBL254702	3.5
CHEMBL2276	CHEMBL1682012	15.0
CHEMBL1824	CHEMBL2148048	7.1
CHEMBL331	CHEMBL3702067	2.5
CHEMBL279	CHEMBL3977192	7.5
CHEMBL299	CHEMBL3943813	0.15
CHEMBL3920	CHEMBL3891166	1.2
CHEMBL4722	CHEMBL485337	11.0
CHEMBL2971	CHEMBL3896784	27.0
CHEMBL4523	CHEMBL3918196	1.0
CHEMBL1936	CHEMBL1276890	3.0
CHEMBL4722	CHEMBL3675450	0.52
CHEMBL5331	CHEMBL3092797	0.81
CHEMBL5408	CHEMBL3968958	30.0
CHEMBL4816	CHEMBL496690	2.0
CHEMBL5407	CHEMBL3687456	3.04
CHEMBL279	CHEMBL1232515	1.0
CHEMBL4282	CHEMBL3954981	1.4
CHEMBL258	CHEMBL1076469	5.0
CHEMBL1906	CHEMBL3577124	4.3
CHEMBL4247	CHEMBL1642262	6.0
CHEMBL5543	CHEMBL269538	28.0
